,UID,Cohort,Group,Sum_Introversion,Sum_Extroversion,TBL1_iRAT,TBL2_iRAT,TBL3_iRAT,TBL1_tRAT,TBL2_tRAT,TBL3_tRAT,TBL1_RATdiff,TBL2_RATdiff,TBL3_RATdiff
366,21152,2020,16,17,19,3,3,3,15,13,16,6,4,7
367,21095,2020,17,18,16,3,0,3,15,14,15,6,14,6
368,21136,2020,17,12,23,4,3,4,15,14,15,3,5,3
369,21154,2020,17,13,21,5,3,0,15,14,15,0,5,15
370,21171,2020,17,15,21,3,3,4,15,14,15,6,5,3
371,21190,2020,17,9,25,2,2,5,15,14,15,9,8,0
372,21220,2020,17,21,14,3,2,4,15,14,15,6,8,3
373,21286,2020,17,20,16,3,3,2,15,14,15,6,5,9
374,21291,2020,17,19,15,2,2,4,15,14,15,9,8,3
375,20920,2020,18,11,22,4,4,4,15,15,15,3,3,3
376,20937,2020,18,19,15,4,1,3,15,15,15,3,12,6
377,20958,2020,18,18,18,3,3,3,15,15,15,6,6,6
378,21083,2020,18,25,10,4,4,5,15,15,15,3,3,0
379,21098,2020,18,11,23,3,2,5,15,15,15,6,9,0
380,21175,2020,18,23,12,4,2,2,15,15,15,3,9,9
381,21179,2020,18,15,21,3,2,3,15,15,15,6,9,6
382,21181,2020,18,9,26,4,4,2,15,15,15,3,3,9
383,21308,2020,18,24,11,3,2,4,15,15,15,6,9,3
384,20925,2020,19,24,11,3,2,2,15,14,14,6,8,8
385,20927,2020,19,18,17,3,5,3,15,14,14,6,-1,5
386,20939,2020,19,22,13,5,3,4,15,14,14,0,5,2
387,20955,2020,19,14,19,2,2,2,15,14,14,9,8,8
388,21140,2020,19,31,5,2,1,3,15,14,14,9,11,5
389,21141,2020,19,17,19,2,0,3,15,14,14,9,14,5
390,21155,2020,19,13,21,2,4,3,15,14,14,9,2,5
391,21164,2020,19,16,18,5,3,3,15,14,14,0,5,5
392,21201,2020,19,19,16,2,4,3,15,14,14,9,2,5
393,20934,2020,20,21,15,5,3,2,15,15,15,0,6,9
394,20941,2020,20,14,19,2,1,2,15,15,15,9,12,9
395,20965,2020,20,24,12,4,2,2,15,15,15,3,9,9
396,21142,2020,20,14,21,5,2,3,15,15,15,0,9,6
397,21143,2020,20,27,9,4,4,5,15,15,15,3,3,0
398,21147,2020,20,23,13,3,2,2,15,15,15,6,9,9
399,21160,2020,20,5,29,3,3,3,15,15,15,6,6,6
400,21198,2020,20,8,25,4,4,3,15,15,15,3,3,6
401,21267,2020,20,21,13,5,4,2,15,15,15,0,3,9
402,20931,2020,21,5,31,3,4,2,15,15,15,6,3,9
403,20964,2020,21,16,18,2,4,2,15,15,15,9,3,9
404,21115,2020,21,9,24,2,2,3,15,15,15,9,9,6
405,21144,2020,21,17,18,2,2,3,15,15,15,9,9,6
406,21151,2020,21,21,14,4,1,4,15,15,15,3,12,3
407,21159,2020,21,7,27,4,3,5,15,15,15,3,6,0
408,21174,2020,21,16,20,1,1,4,15,15,15,12,12,3
409,21187,2020,21,18,17,5,3,2,15,15,15,0,6,9
410,21204,2020,21,14,20,4,3,5,15,15,15,3,6,0
411,20946,2020,22,20,14,4,2,2,15,15,15,3,9,9
412,20948,2020,22,6,28,4,2,2,15,15,15,3,9,9
413,20953,2020,22,11,24,5,4,4,15,15,15,0,3,3
414,21051,2020,22,5,29,3,1,3,15,15,15,6,12,6
415,21055,2020,22,17,16,3,2,3,15,15,15,6,9,6
